Цены за наличный расчёт действительны при отсутствии долга			
Прайс-лист  SANTEK			
тел. 8-965-158-47-47, 8-495-772-24-65			
oooaron@yandex.ru  ,  www.sanfayans.com			
	Цена		
Наименование товаров	(за штуку в руб.)		
	опт		
 УНИТАЗ-КОМПАКТЫ			
			
Унитаз-компакт   АЛЬКОР   антивсплеск,косой, 2-режимный,сиденье полипропилен PP ЭКОНОМ	2510		
Унитаз-компакт   АЛЬКОР   антивсплеск,косой, 2-режимный,сид.дюропласт,мет.крепёж  	2990		
			
Унитаз-компакт   АНИМО    прямой,  2-режимный,сиденье полипропилен РР ЭКОНОМ	2890		
Унитаз-компакт   АНИМО    прямой,  2-режимный, сиденье дюропласт,мет.крепёж	3080		
Унитаз-компакт   АНИМО    прямой, 2-режимный, сиденье микролифт,мет.крепёж	3920		
Унитаз-компакт   АНИМО    косой,   2-режимный,сиденье полипропилен РР ЭКОНОМ	2890		
Унитаз-компакт   АНИМО    косой,   2-режимный,  сиденье дюропласт,мет.крепёж	3110		
Унитаз-компакт   АНИМО    косой,   2-режимный, сиденье микролифт,мет.крепёж	3940		
Унитаз-компакт   АНИМО    в пол,   2-режимный, сиденье дюропласт,мет.крепёж	3760		
Унитаз-компакт   АНИМО    в пол,   2-режимный, сиденье микролифт,мет.крепёж	4620		
			
Унитаз-компакт  БОРЕАЛЬ антивсплеск, сиденье дюропласт,мет.крепёж	3780		
Унитаз-компакт  БОРЕАЛЬ тарельчатый, сиденье дюропласт,мет.крепёж	3870		
Унитаз-компакт  БОРЕАЛЬ антивсплеск, сиденье микролифт,мет.крепёж	4190		
			
Унитаз-компакт   БРИЗ    2-режимный,сиденье полипропилен РР ЭКОНОМ  	2470		
Унитаз-компакт   БРИЗ    2-режимный,сиденье дюропласт,мет.крепёж	2990		
			
Унитаз-компакт  ЛИГА        2-режимный,сиденье полипропилен РР ЭКОНОМ	2420		
Унитаз-компакт  ЛИГА        2-режимный, сиденье дюропласт,мет.крепёж	2670		
			
Унитаз-компакт  РИМИНИ  2-режимный, сиденье дюропласт,мет.крепёж	3530		
			
Унитаз-компакт  СЕНАТОР  антивсплеск, 2-режимный,сиденье дюропласт,мет.крепёж	4350		
			
Унитаз-компакт  ЦЕЗАРЬ  2-режимный,сиденье дюропласт,мет.крепёж	4410		
Унитаз-компакт  ЦЕЗАРЬ  2-режимный,сиденье микролифт,мет.крепёж	5170		
			
ПОДВЕСНАЯ САНТЕХНИКА			
			
Унитаз подвесной  БОРЕАЛЬ  сиденье полипропилен РР ЭКОНОМ	2050		
Унитаз подвесной  БОРЕАЛЬ  сиденье дюропласт,мет.крепёж	2490		
Унитаз подвесной  БОРЕАЛЬ  сиденье микролифт,мет.крепёж	3240		
			
 ТЮЛЬПАНЫ, УМЫВАЛЬНИКИ			
			
Умывальник   Анимо-40  с отверстием	705		
Умывальник   Анимо-50  с отверстием	745		
Умывальник   Анимо-55  с отверстием	790		
Умывальник   Анимо-60  с отверстием	835		
Пьедестал      Анимо	730		
Тюльпан    Анимо-50	1475		
Тюльпан    Анимо-55	1520		
Тюльпан    Анимо-60	1565		
			
Умывальник Бореаль-60 с отверстием	920		
Пьедестал    БСФ (БСК)	790		
Тюльпан  Бореаль-60 	1710		
			
Умывальник  Бриз-40 с  левым  отверстием	670		
Умывальник  Бриз-40 с  правым отверстием	670		
Умывальник  Бриз-50  с отверстием	730		
Умывальник  Бриз-55  с отверстием	860		
Умывальник  Бриз-60  с отверстием	810		
Пьедестал    БИ (БИЦ)	730		
Тюльпан  Бриз-50 	1460		
Тюльпан  Бриз-55	1590		
Тюльпан  Бриз-60 	1540		
			
Умывальник ПИЛОТ-50	1370		
Умывальник ПИЛОТ-60	1470		
Умывальник ПИЛОТ-50 в комплекте  (сифон,кронштейн,крепёж)	2520		
Умывальник ПИЛОТ-60 в комплекте  (сифон,кронштейн,крепёж)	2630		
			
Комплект для умывальника ПИЛОТ (сифон,кронштейн,крепёж)	1230		
Сифон для умывальника ПИЛОТ	560		
Кронштейн для умывальника ПИЛОТ	670		
			
Умывальник Ирис-36 угловой,с отверстием	785		
			
Умывальник Форум  с левым  отверстием	695		
Умывальник Форум  с правым отверстием.	695		
			
 СИДЕНЬЯ			
			
Сиденье   АЛЬКОР полипропилен РР ЭКОНОМ	600		
Сиденье   АЛЬКОР      дюропласт	1140		
Сиденье   АНИМО       дюропласт	1180		
Сиденье   АНИМО       микролифт	2050		
Сиденье   БОРЕАЛЬ   дюропласт	1180		
Сиденье   БОРЕАЛЬ   микролифт (быстросъёмное)	2080		
Сиденье   БРИЗ          дюропласт	1120		
Сиденье   ЛИГА полипропилен РР ЭКОНОМ	550		
Сиденье   ЛИГА          дюропласт	1180		
Сиденье   ПОЛАР       дюропласт	1190		
Сиденье   РИМИНИ     дюропласт	1130		
Сиденье   СЕНАТОР   дюропласт	1240		
Сиденье   ЦЕЗАРЬ     дюропласт	1190		
Сиденье   ЦЕЗАРЬ     микролифт	2080		
			
 ПИССУАРЫ			
			
Писсуар ГАЛА (с креплением)                                            	1260		
Писсуар ГАЛА (с креплением,сифоном)	2470		
			
			
                                               КОМПЛЕКТУЮЩИЕ			
			
Арматура Santek DECO	790		
			
Бачок АЛЬКОР с крышкой	1250		
Бачок АНИМО с крышкой	1350		
Бачок БОРЕАЛЬ с крышкой	1450		
Бачок БРИЗ с крышкой	1250		
Бачок ЛИГА с крышкой	1350		
Бачок РИМИНИ с крышкой	1450		
Бачок СЕНАТОР с крышкой	1600		
Бачок ЦЕЗАРЬ с крышкой	1550		
			
Крышка для бачка АЛЬКОР	400		
Крышка для бачка АНИМО	450		
Крышка для бачка БОРЕАЛЬ	500		
Крышка для бачка БРИЗ	400		
Крышка для бачка ЛИГА	450		
Крышка для бачка РИМИНИ	500		
Крышка для бачка СЕНАТОР	600		
Крышка для бачка ЦЕЗАРЬ	600		
